eez,key,scientific,entity_id
12,Smooth-hound,Mustelus mustelus,604996
12,White skate,Rostroraja alba,607613
12,"Herrings, shads, anchovies",Clupeiformes,300028
12,"Jacks, horse mackerels",Trachurus,500661
12,Blue whiting,Micromesistius poutassou,600031
12,Skipjack tuna,Katsuwonus pelamis,600107
12,Goneplax rhomboides,Goneplax rhomboides,690896
12,Squids,Teuthida,390002
12,Common dentex,Dentex dentex,600439
12,Skates and rays,Rajiformes,300014
12,Atlantic white marlin,Kajikia albida,600219
12,Spotted flounder,Citharus linguatula,604943
12,"Bramble, sleeper, dogfish sharks",Squaliformes,300009
12,Thornback ray,Raja clavata,602059
12,European conger,Conger conger,600301
12,"Octopuses, pikas",Octopus,590013
12,"Stingrays, skates",Raja,500108
12,"Squids, cuttlefishes, octopuses",Cephalopoda,290002
12,Sharpsnout seabream,Diplodus puntazzo,601749
12,Bigeye thresher,Alopias superciliosus,602534
12,Dusky grouper,Epinephelus marginatus,606470
12,Common octopus,Octopus vulgaris,690088
12,"Mackerels, tunas, bonitos",Scombridae,400416
12,Angular roughshark,Oxynotus centrina,600718
12,Great white shark,Carcharodon carcharias,600751
12,Perch-likes,Perciformes,300060
12,Dogfish sharks,Squalidae,400013
12,Houndsharks,Triakidae,400488
12,Cockles,Cardiidae,490058
12,Dogtooth grouper,Epinephelus caninus,609217
12,Piper gurnard,Trigla lyra,605038
12,White seabream,Diplodus sargus sargus,601753
12,Round sardinella,Sardinella aurita,601043
12,Slipper lobsters,Scyllaridae,490040
12,"Eels, morays",Anguilliformes,300026
12,Angel sharks,Squatinidae,400015
12,Stingrays,Rajidae,400019
12,Horned octopus,Eledone cirrhosa,690684
12,Mullets,Liza,504212
12,Deepwater rose shrimp,Parapenaeus longirostris,690109
12,Kitefin shark,Dalatias licha,600669
12,Blackmouth catshark,Galeus melastomus,600807
12,Mediterranean starry ray,Raja asterias,608924
12,Common cuttlefish,Sepia officinalis,690085
12,"Marine crabs, shrimps, lobsters nei",Miscellaneous marine crustaceans,100047
12,Common sole,Solea solea,600525
12,Thicklip grey mullet,Chelon labrosus,602499
12,Gilthead seabream,Sparus aurata,601164
12,Barracudas,Sphyraenidae,400360
12,Common dolphinfish,Coryphaena hippurus,600006
12,Blackbellied angler,Lophius budegassa,605094
12,Swordfish,Xiphias gladius,600226
12,Black seabream,Spondyliosoma cantharus,601356
12,Surmullet,Mullus surmuletus,601327
12,Silver scabbardfish,Lepidopus caudatus,600645
12,Sandbar shark,Carcharhinus plumbeus,600880
12,"Porgies, seabreams",Sparidae,400330
12,Catsharks,Scyliorhinus,500814
12,Comber,Serranus cabrilla,601353
12,Mediterranean slimehead,Hoplostethus mediterraneus mediterraneus,604964
12,Picarel,Spicara smaris,601766
12,"Seabasses, hinds",Epinephelus,500366
12,Sepia cuttlefishes,Sepia,590011
12,Two-toothed seabreams,Diplodus,500705
12,Others,,
12,Tunas,Thunnus,501905
12,Blotched picarel,Spicara maena,604887
12,"Searobins, gurnards",Triglidae,400266
12,Porbeagle,Lamna nasus,600088
12,Atlantic mackerel,Scomber scombrus,600118
12,European pilchard,Sardina pilchardus,601350
12,European argentine,Argentina sphyraena,600020
12,"Octopuses, argonauts",Octopoda,390007
