"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Patagonotothen brevicauda brevicauda",293704,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Patagonotothen"
"Trematomus hansoni",234772,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Trematomus"
"Neopagetopsis ionah",234685,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Neopagetopsis"
"Muraenolepis microps",234742,"Animalia","Chordata","Actinopterygii","Gadiformes","Muraenolepididae","Muraenolepis"
"Macrourus carinatus",217773,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus"
"Macrourus holotrachys",234831,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus"
"Macrourus whitsoni",234606,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus"
"Balistes capriscus",154721,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes"
"Epinephelus polylepis",218234,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Epinephelus timorensis",273871,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Plectropomus laevis",218260,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectropomus"
"Saloptia powelli",282656,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Saloptia"
"Plesiobatis daviesi",220089,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Plesiobatidae","Plesiobatis"
"Trichopsetta caribbaea",275924,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Trichopsetta"
"Genyatremus luteus",280829,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Genyatremus"
"Gymnothorax moringa",158584,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Polymixia nobilis",127163,"Animalia","Chordata","Actinopterygii","Polymixiiformes","Polymixiidae","Polymixia"
"Atlantoraja cyclophora",279817,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja"
"Rostroraja alba",105896,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rostroraja"
"Mactromeris polynyma",156863,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Mactromeris"
"Leucoraja fullonica",105874,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja"
"Micropogonias furnieri",275307,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Micropogonias"
"Plectorhinchus sordidus",218556,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus"
"Bothus mancus",219796,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothus"
"Gerres longirostris",276960,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae","Gerres"
"Gerres methueni",218532,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae","Gerres"
"Sargocentron praslin",217945,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Kuhlia rupestris",218358,"Animalia","Chordata","Actinopterygii","Perciformes","Kuhliidae","Kuhlia"
"Apogon amboinensis",272971,"Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon"
"Sorsogona prionota",218152,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Sorsogona"
"Sphyraena flavicauda",212051,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Sphyraena putnamae",212050,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Sphyraena qenie",212049,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Synodus jaculum",217673,"Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus"
"Oxyurichthys papuensis",126921,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Oxyurichthys"
"Myrichthys colubrinus",217579,"Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae","Myrichthys"
"Diplodus sargus helenae ",293583,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Diplodus"
"Strongylura incisa",275981,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","Strongylura"
"Odontesthes regia",281830,"Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Odontesthes"
"Girella tricuspidata",280870,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Girella"
"Takifugu rubripes",278428,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu"
"Bollmannia chlamydes",279928,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Bollmannia"
"Pontinus macrocephalus",274689,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Pontinus"
"Plectorhinchus pictus",218543,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus"
"Seriolella porosa",282757,"Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella"
"Bregmaceros mcclellandi",217740,"Animalia","Chordata","Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros"
"Gaidropsarus ensis",126453,"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus"
"Coelorinchus chilensis",280267,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coelorinchus"
"Lepidorhynchus denticulatus",281308,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Lepidorhynchus"
"Pseudopleuronectes herzensteini",275357,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes"
"Pelotretis flavilatus",282188,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pelotretis"
"Dipturus nidarosiensis",105871,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus"
"Rajella bigelowi",105893,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella"
"Spectrunculus grandis",126678,"Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Spectrunculus"
"Gymnothorax maderensis",126299,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Alepocephalus agassizii",126681,"Animalia","Chordata","Actinopterygii","Osmeriformes","Alepocephalidae","Alepocephalus"
"Encheliophis gracilis",217828,"Animalia","Chordata","Actinopterygii","Ophidiiformes","Carapidae","Encheliophis"
"Epinephelus caninus",127033,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Aulacomya ater",224604,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Aulacomya"
"Amblyraja hyperborea",105863,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja"
"Pristigenys meyeri",276036,"Animalia","Chordata","Actinopterygii","Perciformes","Priacanthidae","Pristigenys"
"Priacanthus alalaua",273763,"Animalia","Chordata","Actinopterygii","Perciformes","Priacanthidae","Priacanthus"
"Gerres nigri",276963,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae","Gerres"
"Plectorhinchus macrolepis",273490,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus"
"Sicyopterus lagocephalus",219562,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Sicyopterus"
"Gymnothorax neglectus",271859,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Decapterus muroadsi ",273279,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Decapterus"
"Schedophilus pemarco",273317,"Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Schedophilus"
"Benthosema pterotum",217680,"Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Benthosema"
"Lophius vomerinus",217839,"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius"
"Ostichthys kaianus",217934,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Ostichthys"
"Cheilopogon agoo",272149,"Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon"
"Patagonotothen ramsayi",234633,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Patagonotothen"
"Diapterus peruvianus",276414,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae","Diapterus"
"Cynoscion stolzmanni",276092,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"Illex coindetii",140621,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex"
"Centropyge shepardi",278850,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","Centropyge"
"Tragulichthys jaculiferus",219975,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Tragulichthys"
"Albula glossodonta",212255,"Animalia","Chordata","Actinopterygii","Albuliformes","Albulidae","Albula"
"Congresox talabonoides",220036,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenesocidae","Congresox"
"Ambassis buruensis",277731,"Animalia","Chordata","Actinopterygii","Perciformes","Ambassidae","Ambassis"
"Paratrachichthys trailli",282122,"Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Paratrachichthys"
"Plagioscion surinamensis",282268,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Plagioscion"
"Sebastes oculatus",274829,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Niphon spinosus",281758,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Niphon"
"Salangichthys microdon",282650,"Animalia","Chordata","Actinopterygii","Osmeriformes","Salangidae","Salangichthys"
"Plagiogeneion rubiginosum",218467,"Animalia","Chordata","Actinopterygii","Perciformes","Emmelichthyidae","Plagiogeneion"
"Himantura granulata",217416,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Himantura fai",271457,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura"
"Myripristis chryseres",217920,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Myripristis"
"Synodus dermatogenys",217667,"Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus"
"Halichoeres hortulanus",218985,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Halichoeres"
"Bodianus loxozonus",273534,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus"
"Liopropoma maculatum",275949,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Liopropoma"
"Hyporhamphus dussumieri",213175,"Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","Hyporhamphus"
"Neoniphon aurolineatus",217930,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Neoniphon"
"Aplodactylus punctatus",279659,"Animalia","Chordata","Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus"
"Seriolella brama",282755,"Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella"
"Seriolella caerulea",282756,"Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella"
"Seriolella punctata",282758,"Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella"
"Pinguipes brasilianus",236485,"Animalia","Chordata","Actinopterygii","Perciformes","Pinguipedidae","Pinguipes"
"Stromateus brasiliensis",273998,"Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae","Stromateus"
"Pinguipes chilensis",279407,"Animalia","Chordata","Actinopterygii","Perciformes","Pinguipedidae","Pinguipes"
"Polymixia japonica",274320,"Animalia","Chordata","Actinopterygii","Polymixiiformes","Polymixiidae","Polymixia"
"Sparisoma cretense",231441,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Sparisoma"
"Halichoeres zeylonicus",218979,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Halichoeres"
"Liparis tanakae",274541,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Zearaja nasuta",398319,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Zearaja"
"Dipturus innominatus",271549,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus"
"Symphurus atramentatus",274233,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Cynoglossidae","Symphurus"
"Haemulopsis leuciscus",280975,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Haemulopsis"
"Haemulopsis axillaris",280973,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Haemulopsis"
"Pomadasys macracanthus",273508,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys"
"Cyclopsetta querna",275703,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Cyclopsetta"
"Hippoglossina tetrophthalma",275828,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina"
"Syacium ovale",275843,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Syacium"
"Choromytilus chorus",506001,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Choromytilus"
"Micropogonias altipinnis",275304,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Micropogonias"
"Larimus pacificus",276131,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Larimus"
"Isopisthus remifer",281188,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Isopisthus"
"Cynoscion reticulatus",276088,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"Centroberyx affinis",276891,"Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae","Centroberyx"
"Atlantoraja castelnaui",279816,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja"
"Notopogon lilliei",217973,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Centriscidae","Notopogon"
"Nemadactylus monodactylus",281654,"Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus"
"Thunnus orientalis",273823,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Panulirus cygnus",382893,"Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus"
"Chaetodon lunulatus",273346,"Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Chaetodon"
"Hemiramphus archipelagicus",272174,"Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","Hemiramphus"
"Pterygotrigla picta",277049,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Pterygotrigla"
"Scarus persicus",219130,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Scarus"
"Merluccius gayi peruanus",293629,"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius"
"Plesiops corallicola",218345,"Animalia","Chordata","Actinopterygii","Perciformes","Plesiopidae","Plesiops"
"Caprodon longimanus",280030,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Caprodon"
"Mesogobius batrachocephalus",126909,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Mesogobius"
"Symbolophorus barnardi",217720,"Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus"
"Trachyscorpia cristulata echinata",293754,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Trachyscorpia"
"Candidia barbata",NA,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Candidia"
"Acanthurus gahhm",219636,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Aseraggodes melanostictus",279731,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Aseraggodes"
"Spaniblennius riodourensis",282835,"Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Spaniblennius"
"Cheilopogon unicolor",217858,"Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon"
"Gymnothorax elegans",217493,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Odontanthias borbonius",311418,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Odontanthias"
"Sargocentron furcatum",272210,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Eptatretus cirrhatus",279276,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Eptatretus"
"Lepidopsetta bilineata",281305,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta"
"Cirrhilabrus balteatus",277838,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Cirrhilabrus"
"Cryptocentrus caeruleomaculatus",278323,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Cryptocentrus"
"Liza klunzingeri",273641,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Liza"
"Clupea harengus membras",714851,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Sprattus sprattus balticus",293743,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus"
"Rioraja agassizii",282619,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Rioraja"
"Perna viridis",367822,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Perna"
"Bathyraja brachyurops",271509,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Cottoperca gobio",280409,"Animalia","Chordata","Actinopterygii","Perciformes","Bovichtidae","Cottoperca"
"Zearaja chilensis",315953,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Zearaja"
"Bathyraja macloviana",271519,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Cynoscion guatucupa",276078,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"Sympterygia bonapartii",282917,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Sympterygia"
"Sympterygia acuta",282916,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Sympterygia"
"Scomber colias",151174,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber"
"Brama australis",273146,"Animalia","Chordata","Actinopterygii","Perciformes","Bramidae","Brama"
"Paralichthys microps",275815,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys"
"Chrysiptera brownriggii",276827,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chrysiptera"
"Fenneropenaeus merguiensis",377435,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Fenneropenaeus"
"Bathyraja irrasa",234785,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Cephalopholis aurantia",218177,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Cephalopholis"
"Coris gaimard",218960,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Coris"
"Plectranthias kamii",279010,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectranthias"
"Gymnothorax thyrsoideus",271889,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Conger cinereus",217545,"Animalia","Chordata","Actinopterygii","Anguilliformes","Congridae","Conger"
"Notothenia neglecta",234740,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Notothenia"
"Iniistius geisha",712762,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Iniistius"
"Nototheniops nybelini",234594,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Nototheniops"
"Lobotes pacificus",273633,"Animalia","Chordata","Actinopterygii","Perciformes","Lobotidae","Lobotes"
"Helicolenus mouchezi ",274769,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Helicolenus"
"Odontanthias katayamai",398481,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Odontanthias"
"Pandalus montagui",107651,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus"
"Acetes japonicus",210646,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Acetes"
"Crassostrea virginica",140657,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Homarus americanus",156134,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus"
"Placopecten magellanicus",156972,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Placopecten"
"Euphausia superba",236217,"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia"
"Paralomis spinosissima",369208,"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralomis"
"Illex argentinus",342064,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex"
"Ensis directus",140732,"Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis"
"Spisula solidissima",156996,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula"
"Pollicipes pollicipes",106177,"Animalia","Arthropoda","Hexanauplia","Scalpelliformes","Pollicipedidae","Pollicipes"
"Hippopus hippopus",216411,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Hippopus"
"Pinctada margaritifera",207899,"Animalia","Mollusca","Bivalvia","Ostreida","Pteriidae","Pinctada"
"Haliotis rubra",445354,"Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis"
"Tegillarca granosa",504471,"Animalia","Mollusca","Bivalvia","Arcida","Arcidae","Tegillarca"
"Aristeus antennatus",107083,"Animalia","Arthropoda","Malacostraca","Decapoda","Aristeidae","Aristeus"
"Callinectes sapidus",107379,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes"
"Mytilus edulis",140480,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"Melicertus kerathurus",107104,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Melicertus"
"Mytilus chilensis",397041,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"Heterocarpus reedi",241283,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus"
"Loxechinus albus",160809,"Animalia","Echinodermata","Echinoidea","Camarodonta","Parechinidae","Loxechinus"
"Littorina littorea",140262,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina"
"Palaemon serratus",107616,"Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon"
"Crangon crangon",107552,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon"
"Palinurus elephas",107703,"Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Palinurus"
"Crassostrea corteziensis",605704,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Parapenaeus longirostris",107109,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus"
"Cancer pagurus",107276,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"Todarodes sagittatus",140624,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes"
"Homarus gammarus",107253,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus"
"Chlamys farreri",NA,"Animalia","Mollusca","Bivalvia","Ostreoida","Pectinidae","Chlamys"
"Fenneropenaeus chinensis",246390,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Fenneropenaeus"
"Tridacna squamosa",207674,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Tridacna"
"Portunus trituberculatus",1061762,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Portunus"
"Haliotis gigantea",367891,"Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis"
"Tridacna gigas",207670,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Tridacna"
"Penaeus monodon",210378,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus"
"Mactra veneriformis",540844,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Mactra"
"Metapenaeus ensis",210392,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus"
"Pecten maximus",140712,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten"
"Pecten jacobaeus",394429,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten"
"Carcinus maenas",107381,"Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus"
"Sagmariasus verreauxi",382906,"Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Sagmariasus"
"Ruditapes decussatus",231749,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes"
"Microcosmus sulcatus",156240,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus"
"Parapenaeopsis atlantica",240802,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeopsis"
"Saccostrea cuccullata",181316,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Saccostrea"
"Chlamys islandica",140692,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys"
"Crassostrea madrasensis",819168,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Scapharca broughtoni",591365,"Animalia","Mollusca","Bivalvia","Arcida","Arcidae","Scapharca"
"Haliotis discus",397082,"Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis"
"Ruditapes philippinarum",231750,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes"
"Corbicula japonica",NA,"Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula"
"Todarodes pacificus",342067,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes"
"Meretrix lusoria",397139,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Meretrix"
"Pinctada fucata",397170,"Animalia","Mollusca","Bivalvia","Ostreida","Pteriidae","Pinctada"
"Apostichopus japonicus",241776,"Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus"
"Cancer borealis",158056,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"Dosidicus gigas",342291,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus"
"Lithodes ferox",240655,"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes"
"Haliporoides triarthrus",220284,"Animalia","Arthropoda","Malacostraca","Decapoda","Solenoceridae","Haliporoides"
"Solenocera crassicornis",107119,"Animalia","Arthropoda","Malacostraca","Decapoda","Solenoceridae","Solenocera"
"Mytilus coruscus",506159,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"Marsupenaeus japonicus",107102,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Marsupenaeus"
"Doryteuthis pealeii",574541,"Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Doryteuthis"
"Crassostrea belcheri",506702,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Crassostrea rhizophorae",420777,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Lithodes maia",590139,"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes"
"Corbicula manilensis",NA,"Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula"
"Metanephrops mozambicus",241290,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Metanephrops"
"Panulirus polyphagus",382902,"Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus"
