ID,Country,Localities,Total Catch,Total Value,species,Geocoded,Map Tool,Verdict,New Country,(1) Southwest Coordinate,(1) Northeast Coordinate,(2) Southwest Coordinate,(2) Northeast Coordinate,(3) Southwest Coordinate,(3) Northeast Coordinate,Latitude Range,Notes,Cumul Catch,Notes (4/13/23),Additional
27,USA,Cape Sable to Block Island,12437668,15055057838,"Enchelyopus cimbrius (0%), Gaidropsarus pacificus (0%), Limanda ferruginea (9%), Melanogrammus aeglefinus (16%), Merluccius bilinearis (13%), Paralichthys dentatus (4%), Paralichthys oblongus (0%), Peprilus triacanthus (7%), Phycis marginatus (0%), Pollachius virens (51%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map910.pdf,,green,,,,,,,,,,929704760,,#REF!
28,Hong Kong,Not specified.,12372804,16633744544,"Cephalopholis megachir (0%), Dentex setigerus (0%), Epinephelus quoyanus (1%), Konosirus punctatus (3%), Larimichthys crocea (50%), Leiognathus brevirostris (4%), Nemipterus virgatus (6%), Pampus cinereus (21%), Pennahia anea (0%), Psenopsis anomala (15%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map509.pdf,,green,,,,,,,,,,942077564,,#REF!
29,NA,Central Indo-West Pacific,12314593,8284610140,"Rastrelliger brachysoma (78%), Rastrelliger neglectus (22%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1739.pdf,,FAO sheet,,,,,,,,,Match species to FAO sheet.,954392157,,#REF!
30,USA,Gulf of Maine,11497950,13292170368,"Gadus morhua (35%), Limanda ferruginea (9%), Morone saxitilis (0%), Pollachius virens (55%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map29.pdf,,red,,,,,,,,,,965890107,,#REF!
31,Australia,NA,11232958,23666087959,"Plectropomus leopardus (0%), Pagrus auratus (9%), Acanthurus nigrofuscus (0%), Bolbometopon muricatum (0%), Pomadasys kaakan (2%), Scomberomorus commerson (89%), Epinephelus fuscoguttatus (0%), Scomberomorus semifasciatus (0%), Istiompax indica (0%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1935.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A111.547031198%3A-48.64693157%3A157.421031198%3A-2.77293156999998%3Abb,EEZ,,,,,,,,,,977123065,,#REF!
32,Iceland,Iceland,10841396,12438747714,"Coryphaena rupestris (0%), Coryphaenoides rupestris (2%), Enchelyopus cimbrius (0%), Gadus morhua (38%), Gaidropsarus pacificus (0%), Macrourus stroemii (0%), Micromesistius poutassou (52%), Pleuronectes platessa (9%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map743.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A-24.5326753866625%3A61.408956859%3A-13.4946206239501%3A68.564956859%3Abb,EEZ,,,,,,,,,,987964461,,#REF!
835,,Aegean Sea,103111,324511149,Dentex macrophthalmus (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map813.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A5.00000000000006%3A19.0000000000001%3A45.0000000000001%3A59.0000000000001%3Abb,FAO sheet,,,,,,,,,Match species to FAO sheet.,988067572,,#REF!
1608,,Anadyr River,997,1111622,Molva maculosa (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1448.pdf,,drop,,,,,,,,,freshwater locality and freshwater species,988068569,,#REF!
523,,Andaman Sea,464004,1316482753,Lutjanus johnii (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1290.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A75.0000000000001%3A-9.99999999999994%3A115%3A30.0000000000001%3Abb,mr-andaman.shp,,,,,,,,,,988532572,https://www.marineregions.org/gazetteer.php?p=details&id=4274,#REF!
34,Argentina,Argentine Sea,9933913,6133688001,"Merluccius hubbsi (94%), Merluccius merluccius hubbsi (6%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1397.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A-86.330542108%3A-83.477589610353%3A-20.1348086731799%3A-14.236758184%3Abb,Google maps,,"-54.371975, -69.858220","-35.966082, -52.543766",,,,,,,998001485,,#REF!
