Mapping parameters for Cybiosarda elegans (Leaping bonito)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-6,-41,108,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,66,123,200
Temperature (°C),1,16.5,20.23,28.06,32.26
Salinity (psu),1,33.65,34.15,35.61,36.51
Primary Production,1,81,225,974,1552
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,299,362
 

Map data (HSPEC) for predicted occurrences (n = 1160): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Cybiosarda,elegans,-34.75,123.25,3312:143:3,0.24,,,,,,
Cybiosarda,elegans,-34.75,123.75,3312:143:4,0.24,,,,,,
Cybiosarda,elegans,-34.25,124.25,3312:144:1,0.26,,,,,,
Cybiosarda,elegans,-34.25,124.75,3312:144:2,0.26,,,,,,
Cybiosarda,elegans,-32.25,125.75,3312:225:2,0.37,,,,,,
Cybiosarda,elegans,-32.75,125.25,3312:225:3,0.37,,,,,,
Cybiosarda,elegans,-32.75,125.75,3312:225:4,0.37,,,,,,
Cybiosarda,elegans,-32.25,126.25,3312:226:1,0.37,,,,,,
Cybiosarda,elegans,-32.25,126.75,3312:226:2,0.37,,,,,,
Cybiosarda,elegans,-32.75,126.25,3312:226:3,0.37,,,,,,
Cybiosarda,elegans,-32.75,126.75,3312:226:4,0.37,,,,,,
Cybiosarda,elegans,-32.25,127.25,3312:227:1,0.25,,,,,,
Cybiosarda,elegans,-32.75,127.25,3312:227:3,0.35,,,,,,
Cybiosarda,elegans,-32.75,127.75,3312:227:4,0.25,,,,,,
Cybiosarda,elegans,-32.75,128.25,3312:228:3,0.24,,,,,,
Cybiosarda,elegans,-32.75,128.75,3312:228:4,0.24,,,,,,
Cybiosarda,elegans,-32.25,129.25,3312:229:1,0.25,,,,,,
Cybiosarda,elegans,-32.25,129.75,3312:229:2,0.25,,,,,,
Cybiosarda,elegans,-32.75,129.25,3312:229:3,0.25,,,,,,
Cybiosarda,elegans,-32.75,129.75,3312:229:4,0.25,,,,,,
Cybiosarda,elegans,-33.25,125.25,3312:235:1,0.31,,,,,,
Cybiosarda,elegans,-33.25,125.75,3312:235:2,0.31,,,,,,
Cybiosarda,elegans,-33.75,125.25,3312:235:3,0.31,,,,,,
Cybiosarda,elegans,-33.75,125.75,3312:235:4,0.31,,,,,,
Cybiosarda,elegans,-33.25,126.25,3312:236:1,0.31,,,,,,
Cybiosarda,elegans,-33.25,126.75,3312:236:2,0.31,,,,,,
Cybiosarda,elegans,-33.25,127.25,3312:237:1,0.28,,,,,,
Cybiosarda,elegans,-33.25,127.75,3312:237:2,0.28,,,,,,
Cybiosarda,elegans,-33.25,128.25,3312:238:1,0.26,,,,,,
Cybiosarda,elegans,-33.25,128.75,3312:238:2,0.26,,,,,,
Cybiosarda,elegans,-33.25,129.25,3312:239:1,0.26,,,,,,
Cybiosarda,elegans,-33.25,129.75,3312:239:2,0.26,,,,,,
Cybiosarda,elegans,-34.25,125.25,3312:245:1,0.25,,,,,,
Cybiosarda,elegans,-31.75,130.75,3313:110:4,0.27,,,,,,
Cybiosarda,elegans,-31.75,131.25,3313:111:3,0.30,,,,,,
Cybiosarda,elegans,-31.75,131.75,3313:111:4,0.27,,,,,,
Cybiosarda,elegans,-31.75,132.75,3313:112:4,0.28,,,,,,
Cybiosarda,elegans,-32.25,130.25,3313:120:1,0.27,,,,,,
Cybiosarda,elegans,-32.25,130.75,3313:120:2,0.27,,,,,,
Cybiosarda,elegans,-32.75,130.25,3313:120:3,0.27,,,,,,
Cybiosarda,elegans,-32.75,130.75,3313:120:4,0.27,,,,,,
Cybiosarda,elegans,-32.25,131.25,3313:121:1,0.26,,,,,,
Cybiosarda,elegans,-32.25,131.75,3313:121:2,0.26,,,,,,
Cybiosarda,elegans,-32.75,131.25,3313:121:3,0.26,,,,,,
Cybiosarda,elegans,-32.75,131.75,3313:121:4,0.26,,,,,,
Cybiosarda,elegans,-32.25,132.25,3313:122:1,0.24,,,,,,
Cybiosarda,elegans,-32.75,132.25,3313:122:3,0.24,,,,,,
Cybiosarda,elegans,-32.75,132.75,3313:122:4,0.24,,,,,,
Cybiosarda,elegans,-32.25,133.75,3313:123:2,0.24,,,,,,
Cybiosarda,elegans,-32.75,133.25,3313:123:3,0.24,,,,,,
Cybiosarda,elegans,-32.75,133.75,3313:123:4,0.28,,,,,,
Cybiosarda,elegans,-32.25,134.25,3313:124:1,0.29,,,,,,
Cybiosarda,elegans,-32.75,134.25,3313:124:3,0.24,,,,,,
Cybiosarda,elegans,-33.25,130.25,3313:130:1,0.26,,,,,,
Cybiosarda,elegans,-33.25,130.75,3313:130:2,0.26,,,,,,
Cybiosarda,elegans,-33.25,131.25,3313:131:1,0.26,,,,,,
Cybiosarda,elegans,-33.25,131.75,3313:131:2,0.26,,,,,,
Cybiosarda,elegans,-33.75,131.75,3313:131:4,0.22,,,,,,
Cybiosarda,elegans,-33.25,132.25,3313:132:1,0.26,,,,,,
Cybiosarda,elegans,-33.25,132.75,3313:132:2,0.26,,,,,,
Cybiosarda,elegans,-33.75,132.25,3313:132:3,0.25,,,,,,
Cybiosarda,elegans,-33.75,132.75,3313:132:4,0.25,,,,,,
Cybiosarda,elegans,-33.25,133.25,3313:133:1,0.25,,,,,,
Cybiosarda,elegans,-33.25,133.75,3313:133:2,0.25,,,,,,
Cybiosarda,elegans,-33.75,133.25,3313:133:3,0.25,,,,,,
Cybiosarda,elegans,-33.75,133.75,3313:133:4,0.25,,,,,,
Cybiosarda,elegans,-33.25,134.25,3313:134:1,0.25,,,,,,
Cybiosarda,elegans,-33.75,134.25,3313:134:3,0.25,,,,,,
Cybiosarda,elegans,-33.75,134.75,3313:134:4,0.29,,,,,,
Cybiosarda,elegans,-34.25,132.75,3313:142:2,0.20,,,,,,
Cybiosarda,elegans,-34.25,133.25,3313:143:1,0.20,,,,,,
Cybiosarda,elegans,-34.25,133.75,3313:143:2,0.20,,,,,,
Cybiosarda,elegans,-34.75,133.25,3313:143:3,0.20,,,,,,
Cybiosarda,elegans,-34.75,133.75,3313:143:4,0.20,,,,,,
Cybiosarda,elegans,-33.75,136.75,3313:236:4,0.21,,,,,,
Cybiosarda,elegans,-33.25,137.25,3313:237:1,0.21,,,,,,
Cybiosarda,elegans,-33.25,137.75,3313:237:2,0.21,,,,,,
Cybiosarda,elegans,-33.25,138.25,3313:238:1,0.25,,,,,,
Cybiosarda,elegans,-37.75,149.25,3314:479:3,0.29,,,,,,
Cybiosarda,elegans,-37.75,149.75,3314:479:4,0.29,,,,,,
Cybiosarda,elegans,-31.25,152.75,3315:112:2,0.23,,,,,,
Cybiosarda,elegans,-30.75,156.25,3315:206:3,0.30,,,,,,
Cybiosarda,elegans,-7.75,108.25,3010:478:3,0.42,,,,,,
Cybiosarda,elegans,-7.75,108.75,3010:478:4,0.42,,,,,,
Cybiosarda,elegans,-8.25,108.25,3010:488:1,0.45,,,,,,
Cybiosarda,elegans,-8.25,108.75,3010:488:2,0.45,,,,,,
Cybiosarda,elegans,-8.25,124.25,3012:384:1,0.48,,,,,,
Cybiosarda,elegans,-8.25,124.75,3012:384:2,0.48,,,,,,
Cybiosarda,elegans,-8.25,134.75,3013:384:2,0.54,,,,,,
Cybiosarda,elegans,-8.75,134.75,3013:384:4,0.56,,,,,,
Cybiosarda,elegans,-9.75,130.25,3013:390:3,0.46,,,,,,
Cybiosarda,elegans,-9.25,135.75,3013:495:2,0.55,,,,,,
Cybiosarda,elegans,-9.25,136.25,3013:496:1,0.41,,,,,,
Cybiosarda,elegans,-8.75,144.25,3014:384:3,0.55,,,,,,
Cybiosarda,elegans,-18.75,117.25,3111:487:3,0.49,,,,,,
Cybiosarda,elegans,-18.25,118.25,3111:488:1,0.58,,,,,,
Cybiosarda,elegans,-11.25,122.75,3112:112:2,0.49,,,,,,
Cybiosarda,elegans,-14.75,124.25,3112:144:3,0.46,,,,,,
Cybiosarda,elegans,-11.25,128.75,3112:218:2,0.56,,,,,,
Cybiosarda,elegans,-11.25,129.25,3112:219:1,0.49,,,,,,
Cybiosarda,elegans,-11.25,129.75,3112:219:2,0.56,,,,,,
Cybiosarda,elegans,-11.75,129.25,3112:219:3,0.56,,,,,,
Cybiosarda,elegans,-12.75,129.75,3112:229:4,0.49,,,,,,
Cybiosarda,elegans,-13.75,125.75,3112:235:4,0.59,,,,,,
Cybiosarda,elegans,-13.75,126.75,3112:236:4,0.41,,,,,,
Cybiosarda,elegans,-13.75,127.75,3112:237:4,0.51,,,,,,
Cybiosarda,elegans,-13.75,128.75,3112:238:4,0.55,,,,,,
Cybiosarda,elegans,-13.25,129.75,3112:239:2,0.52,,,,,,
Cybiosarda,elegans,-16.75,121.75,3112:361:4,0.56,,,,,,
Cybiosarda,elegans,-17.25,123.75,3112:373:2,0.50,,,,,,
Cybiosarda,elegans,-15.25,125.25,3112:455:1,0.57,,,,,,
Cybiosarda,elegans,-10.25,134.25,3113:104:1,0.54,,,,,,
Cybiosarda,elegans,-10.25,134.75,3113:104:2,0.56,,,,,,
Cybiosarda,elegans,-11.75,130.25,3113:110:3,0.49,,,,,,
Cybiosarda,elegans,-11.25,131.75,3113:111:2,0.55,,,,,,
Cybiosarda,elegans,-11.75,131.25,3113:111:3,0.57,,,,,,
Cybiosarda,elegans,-11.25,132.25,3113:112:1,0.46,,,,,,
Cybiosarda,elegans,-11.75,133.25,3113:113:3,0.42,,,,,,
Cybiosarda,elegans,-10.25,137.75,3113:207:2,0.44,,,,,,
Cybiosarda,elegans,-10.25,138.25,3113:208:1,0.54,,,,,,
Cybiosarda,elegans,-10.25,139.75,3113:209:2,0.44,,,,,,
Cybiosarda,elegans,-11.25,135.25,3113:215:1,0.44,,,,,,
Cybiosarda,elegans,-11.25,135.75,3113:215:2,0.40,,,,,,
Cybiosarda,elegans,-12.75,138.25,3113:228:3,0.50,,,,,,
Cybiosarda,elegans,-14.25,137.25,3113:247:1,0.56,,,,,,
Cybiosarda,elegans,-16.25,138.25,3113:468:1,0.50,,,,,,
