Mapping parameters for Pegusa nasuta (Blackhand sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,35,-6,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,14.4,15.11,19.35,22.16
Salinity (psu),1,17.6,18.1,38.47,39.255
Primary Production,1,384,389,792,1200
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,7,127,280.5
 

Map data (HSPEC) for predicted occurrences (n = 424): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pegusa,nasuta,42.75,11.25,1401:121:3,0.75,1,1,1,0.74754901960784,1,1
Pegusa,nasuta,43.75,14.25,1401:134:3,0.72,0.72413793103448,1,1,1,1,1
Pegusa,nasuta,45.25,12.25,1401:352:1,0.63,1,1,1,0.62745098039216,1,1
Pegusa,nasuta,40.75,27.25,1402:207:3,0.71,1,1,1,0.70588235294118,1,1
Pegusa,nasuta,41.25,27.75,1402:217:2,0.69,1,1,1,0.69362745098039,1,1
Pegusa,nasuta,35.75,0.25,1300:350:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.25,0.25,1300:360:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.25,0.75,1300:360:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,1.25,1300:361:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,1.75,1300:361:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,2.25,1300:362:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,2.75,1300:362:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,3.25,1300:363:3,0.99,1,0.98576512455516,1,1,1,1
Pegusa,nasuta,36.75,3.75,1300:363:4,0.99,1,0.98576512455516,1,1,1,1
Pegusa,nasuta,36.75,4.25,1300:364:3,0.93,1,0.93238434163701,1,1,1,1
Pegusa,nasuta,36.75,4.75,1300:364:4,0.93,1,0.93238434163701,1,1,1,1
Pegusa,nasuta,38.75,0.25,1300:380:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,1.25,1300:381:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,1.75,1300:381:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,0.25,1300:390:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,0.25,1300:390:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,0.75,1300:390:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,1.25,1300:391:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,1.75,1300:391:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,3.25,1300:393:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,3.75,1300:393:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,4.25,1300:394:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.75,5.25,1300:465:3,0.93,1,0.92526690391459,1,1,1,1
Pegusa,nasuta,36.75,5.75,1300:465:4,0.93,1,0.92526690391459,1,1,1,1
Pegusa,nasuta,36.75,6.25,1300:466:3,0.95,1,0.94661921708185,1,1,1,1
Pegusa,nasuta,36.75,6.75,1300:466:4,0.95,1,0.94661921708185,1,1,1,1
Pegusa,nasuta,36.75,7.25,1300:467:3,0.97,1,0.96797153024911,1,1,1,1
Pegusa,nasuta,36.75,7.75,1300:467:4,0.97,1,0.96797153024911,1,1,1,1
Pegusa,nasuta,36.75,8.25,1300:468:3,0.98,1,0.97508896797153,1,1,1,1
Pegusa,nasuta,36.75,8.75,1300:468:4,0.98,1,0.97508896797153,1,1,1,1
Pegusa,nasuta,37.25,6.25,1300:476:1,0.97,1,0.97153024911032,1,1,1,1
Pegusa,nasuta,37.25,6.75,1300:476:2,0.97,1,0.97153024911032,1,1,1,1
Pegusa,nasuta,37.25,7.25,1300:477:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,7.75,1300:477:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,8.25,1300:478:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,8.75,1300:478:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,8.75,1300:478:4,1.00,1,1,1,1,1,1
