Mapping parameters for Isurus oxyrinchus (Shortfin mako)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-56,-180,180

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,150,740
Temperature (°C),1,0.62,1.12,14.22,28.2
Salinity (psu),1,28.8864,34.426,35.426,39.1
Primary Production,1,119,274,662,2521
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,1,24,454,1239
 

Map data (HSPEC) for predicted occurrences (n = 13903): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Isurus,oxyrinchus,0.75,105.75,1010:205:4,0.01,0.62,0.0178826895565,0.808108888728,0.977945131791,1,1
Isurus,oxyrinchus,0.25,106.25,1010:206:1,0.02,0.58,0.0350500715308,0.819553758394,0.972565895643,1,1
Isurus,oxyrinchus,0.25,106.75,1010:206:2,0.02,0.78,0.0350500715308,0.819553758394,0.967724583109,1,1
Isurus,oxyrinchus,0.75,106.25,1010:206:3,0.02,0.62,0.0350500715308,0.819553758394,0.994082840237,1,1
Isurus,oxyrinchus,1.25,105.25,1010:215:1,0.02,0.53,0.0371959942775,0.807729799986,0.94782140936,1,1
Isurus,oxyrinchus,1.25,105.75,1010:215:2,0.02,0.64,0.0371959942775,0.807729799986,1,1,1
Isurus,oxyrinchus,1.75,105.25,1010:215:3,0.02,0.7,0.0371959942775,0.807729799986,0.973103819258,1,1
Isurus,oxyrinchus,1.75,105.75,1010:215:4,0.02,0.63,0.0371959942775,0.807729799986,1,1,1
Isurus,oxyrinchus,1.25,106.25,1010:216:1,0.02,0.64,0.0450643776824,0.822550364647,0.998386229155,1,1
Isurus,oxyrinchus,1.75,106.25,1010:216:3,0.02,0.67,0.0450643776824,0.822550364647,1,1,1
Isurus,oxyrinchus,1.75,106.75,1010:216:4,0.03,0.78,0.0450643776824,0.822550364647,1,1,1
Isurus,oxyrinchus,1.75,107.25,1010:217:3,0.03,0.78,0.0515021459227,0.832821864395,1,1,1
Isurus,oxyrinchus,1.75,107.75,1010:217:4,0.03,0.66,0.0515021459227,0.832821864395,0.982786444325,1,1
Isurus,oxyrinchus,1.75,108.25,1010:218:3,0.02,0.58,0.0472103004292,0.841847786844,0.909090909091,1,1
Isurus,oxyrinchus,2.25,105.25,1010:225:1,0.03,0.68,0.0572246065808,0.818849736443,1,1,1
Isurus,oxyrinchus,2.75,105.25,1010:225:3,0.03,0.74,0.0572246065808,0.818849736443,1,1,1
Isurus,oxyrinchus,2.25,106.25,1010:226:1,0.04,0.8,0.0579399141631,0.829319806484,1,1,1
Isurus,oxyrinchus,2.25,106.75,1010:226:2,0.04,0.79,0.0579399141631,0.829319806484,1,1,1
Isurus,oxyrinchus,2.75,106.75,1010:226:4,0.05,0.97,0.0579399141631,0.829319806484,1,1,1
Isurus,oxyrinchus,2.25,108.25,1010:228:1,0.04,0.72,0.0629470672389,0.84341829735,0.956966110812,1,1
Isurus,oxyrinchus,2.75,109.75,1010:229:4,0.03,0.61,0.0615164520744,0.843833489783,0.986013986014,1,1
Isurus,oxyrinchus,3.25,105.25,1010:235:1,0.18,0.83,0.24678111588,0.901021734421,1,1,1
Isurus,oxyrinchus,3.25,105.75,1010:235:2,0.01,0.78,0.00858369098712,0.800599321251,1,1,1
Isurus,oxyrinchus,3.75,105.25,1010:235:3,0.18,0.82,0.24678111588,0.901021734421,1,1,1
