Mapping parameters for Benthodesmus simonyi (Simony's frostfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34,
Bounding Box (NSWE): ,72,16,-67,20

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,285,510,900
Temperature (°C),1,1.49,12.79,27.25,28.04
Salinity (psu),1,30.3,32.86,36.36,39.26
Primary Production,1,244,316,1036,1549
Sea Ice Concentration,1,0,0,0,0
Distance to Land (km),0,6,88,449,1025
 

Map data (HSPEC) for predicted occurrences (n = 808): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Benthodesmus,simonyi,43.75,-6.75,7400:236:4,0.12,1,1,1,1,1,0.121951219512
Benthodesmus,simonyi,43.75,-6.25,7400:236:3,0.12,1,1,1,1,1,0.121951219512
Benthodesmus,simonyi,43.75,-5.75,7400:235:4,0.12,1,1,1,1,1,0.121951219512
Benthodesmus,simonyi,43.75,-5.25,7400:235:3,0.15,1,1,1,1,1,0.146341463415
Benthodesmus,simonyi,42.75,-9.25,7400:229:3,0.10,1,1,1,0.6432748538009999,1,0.158536585366
Benthodesmus,simonyi,43.75,-3.75,7400:133:4,0.17,1,1,1,1,1,0.170731707317
Benthodesmus,simonyi,32.25,-64.25,7306:124:1,0.06,0.06153846153849999,1,0.9620689655169999,1,1,1
Benthodesmus,simonyi,39.75,-31.25,7303:391:3,0.18,1,1,1,1,1,0.182926829268
Benthodesmus,simonyi,39.25,-31.25,7303:391:1,0.18,1,1,1,1,1,0.182926829268
Benthodesmus,simonyi,39.75,-30.75,7303:390:4,0.06,0.0589743589744,1,1,1,1,0.975609756098
Benthodesmus,simonyi,38.25,-31.75,7303:381:2,0.06,0.0564102564103,1,1,1,1,1
Benthodesmus,simonyi,37.25,-33.75,7303:373:2,0.03,0.025641025641,1,1,1,1,1
Benthodesmus,simonyi,37.75,-31.25,7303:371:3,0.17,0.169230769231,1,1,1,1,1
Benthodesmus,simonyi,37.25,-30.75,7303:370:2,0.08,0.0794871794872,1,1,1,1,1
Benthodesmus,simonyi,35.75,-33.75,7303:353:4,0.06,0.0641025641026,1,1,1,1,0.925347222222
Benthodesmus,simonyi,39.25,-27.75,7302:497:2,0.18,1,1,1,1,1,0.182926829268
Benthodesmus,simonyi,39.25,-27.25,7302:497:1,0.15,0.151282051282,1,1,1,1,0.975609756098
Benthodesmus,simonyi,39.75,-26.75,7302:496:4,0.19,0.194871794872,1,1,1,1,1
Benthodesmus,simonyi,38.75,-28.75,7302:488:4,0.18,1,1,1,1,1,0.182926829268
Benthodesmus,simonyi,38.75,-28.25,7302:488:3,0.16,1,1,1,1,1,0.158536585366
Benthodesmus,simonyi,38.25,-28.25,7302:488:1,0.17,1,1,1,1,1,0.170731707317
Benthodesmus,simonyi,38.75,-27.75,7302:487:4,0.18,1,1,1,1,1,0.182926829268
Benthodesmus,simonyi,38.75,-27.25,7302:487:3,0.16,1,1,1,1,1,0.158536585366
