Mapping parameters for Engraulis ringens (Anchoveta)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  87 ,
Bounding Box (NSWE): ,-5,-43,-82,-69

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,11,42,80
Temperature (°C),1,13,19.22,21.08,23
Salinity (psu),1,33.965,34.465,35.17,35.67
Primary Production,1,214,695,2300,3384.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),1,0,1,80,160
 

Map data (HSPEC) for predicted occurrences (n = 260): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Engraulis,ringens,-34.25,-79.25,5307:249:1,0.06,1,0.601286173633,0.49,0.399168399168,1,0.525
Engraulis,ringens,-34.25,-79.75,5307:249:2,0.01,1,0.601286173633,0.49,0.324324324324,1,0.075
Engraulis,ringens,-35.25,-72.25,5307:352:1,0.11,1,0.284565916399,0.39,1,1,1
Engraulis,ringens,-35.25,-72.75,5307:352:2,0.09,1,0.284565916399,0.39,0.77224527432,1,1
Engraulis,ringens,-35.75,-72.75,5307:352:4,0.01,1,0.284565916399,0.05,1,1,1
Engraulis,ringens,-35.25,-73.25,5307:353:1,0.01,1,0.287781350482,0.05,1,1,0.95
Engraulis,ringens,-35.25,-73.75,5307:353:2,0.01,1,0.287781350482,0.05,1,1,0.45
Engraulis,ringens,-35.75,-73.25,5307:353:3,0.01,1,0.287781350482,0.05,1,1,1
Engraulis,ringens,-35.75,-73.75,5307:353:4,0.01,1,0.287781350482,0.05,1,1,0.5875
Engraulis,ringens,-33.25,-80.25,5308:130:1,0.07,1,0.689710610932,0.75,0.253638253638,1,0.5125
Engraulis,ringens,-33.25,-80.75,5308:130:2,0.10,1,0.689710610932,0.75,0.253638253638,1,0.725
Engraulis,ringens,-33.75,-80.25,5308:130:3,0.13,1,0.689710610932,0.75,0.297297297297,1,0.8375
Engraulis,ringens,-33.75,-80.75,5308:130:4,0.15,1,0.689710610932,0.75,0.293139293139,1,1
Engraulis,ringens,-33.25,-81.25,5308:131:1,0.07,1,0.712218649518,0.83,0.216216216216,1,0.5125
Engraulis,ringens,-33.25,-81.75,5308:131:2,0.01,1,0.712218649518,0.83,0.180873180873,1,0.0625
Engraulis,ringens,-33.75,-81.25,5308:131:3,0.13,1,0.712218649518,0.83,0.264033264033,1,0.8375
Engraulis,ringens,-33.75,-81.75,5308:131:4,0.04,1,0.712218649518,0.83,0.241164241164,1,0.2625
Engraulis,ringens,-34.25,-80.25,5308:140:1,0.05,1,0.623794212219,0.59,0.282744282744,1,0.525
Engraulis,ringens,-34.25,-80.75,5308:140:2,0.08,1,0.623794212219,0.59,0.29106029106,1,0.725
Engraulis,ringens,-34.25,-81.25,5308:141:1,0.06,1,0.641479099678,0.67,0.251559251559,1,0.525
Engraulis,ringens,-34.25,-81.75,5308:141:2,0.01,1,0.641479099678,0.67,0.245322245322,1,0.075
Engraulis,ringens,-8.75,-79.75,5007:489:4,0.39,1,1,1,1,1,0.3875
Engraulis,ringens,-9.75,-79.25,5007:499:3,0.39,1,1,1,1,1,0.3875
Engraulis,ringens,-6.75,-81.75,5008:361:4,0.32,1,1,1,1,1,0.325
Engraulis,ringens,-7.25,-80.75,5008:370:2,0.39,1,1,1,1,1,0.3875
Engraulis,ringens,-8.25,-80.25,5008:380:1,0.39,1,1,1,1,1,0.3875
Engraulis,ringens,-10.75,-78.75,5107:208:4,0.39,1,1,1,1,1,0.3875
Engraulis,ringens,-11.75,-78.25,5107:218:3,0.38,1,1,0.98,1,1,0.3875
Engraulis,ringens,-13.75,-77.25,5107:237:3,0.31,1,1,1,1,1,0.3125
Engraulis,ringens,-14.25,-77.25,5107:247:1,0.20,1,1,1,1,1,0.2
Engraulis,ringens,-19.25,-71.25,5107:391:1,0.33,1,1,1,0.918918918919,1,0.3625
Engraulis,ringens,-19.75,-71.25,5107:391:3,0.34,1,1,1,0.925155925156,1,0.3625
Engraulis,ringens,-20.25,-71.25,5207:101:1,0.38,1,1,1,1,1,0.375
Engraulis,ringens,-20.75,-71.25,5207:101:3,0.35,1,1,1,0.923076923077,1,0.375
Engraulis,ringens,-21.25,-71.25,5207:111:1,0.33,1,1,1,0.877338877339,1,0.375
Engraulis,ringens,-21.75,-71.25,5207:111:3,0.36,1,1,1,0.927234927235,1,0.3875
Engraulis,ringens,-22.25,-71.25,5207:121:1,0.35,1,1,1,0.906444906445,1,0.3875
Engraulis,ringens,-22.75,-71.25,5207:121:3,0.36,1,1,1,0.860706860707,1,0.4125
Engraulis,ringens,-24.25,-71.25,5207:141:1,0.34,1,0.885852090032,1,0.900207900208,1,0.425
Engraulis,ringens,-25.25,-71.75,5207:351:2,0.22,1,0.815112540193,1,0.852390852391,1,0.3125
Engraulis,ringens,-25.75,-71.75,5207:351:4,0.32,1,0.815112540193,1,0.889812889813,1,0.4375
Engraulis,ringens,-26.25,-71.75,5207:361:2,0.32,1,0.742765273312,1,1,1,0.4375
Engraulis,ringens,-26.75,-71.75,5207:361:4,0.33,1,0.742765273312,1,1,1,0.45
Engraulis,ringens,-27.25,-71.75,5207:371:2,0.29,1,0.654340836013,1,1,1,0.45
Engraulis,ringens,-27.75,-72.25,5207:372:3,0.23,1,0.667202572347,1,1,1,0.3375
Engraulis,ringens,-28.25,-72.25,5207:382:1,0.25,1,0.599678456592,0.89,1,1,0.475
Engraulis,ringens,-28.75,-72.25,5207:382:3,0.25,1,0.599678456592,0.89,1,1,0.475
Engraulis,ringens,-29.25,-71.25,5207:391:1,0.38,1,0.51768488746,0.73,1,1,1
Engraulis,ringens,-29.25,-71.75,5207:391:2,0.38,1,0.51768488746,0.73,1,1,1
Engraulis,ringens,-29.75,-71.25,5207:391:3,0.38,1,0.51768488746,0.73,1,1,1
Engraulis,ringens,-29.75,-71.75,5207:391:4,0.38,1,0.51768488746,0.73,1,1,1
Engraulis,ringens,-30.25,-71.25,5307:101:1,0.31,1,0.475884244373,0.65,1,1,1
Engraulis,ringens,-30.25,-71.75,5307:101:2,0.31,1,0.475884244373,0.65,1,1,1
Engraulis,ringens,-30.75,-71.75,5307:101:4,0.31,1,0.475884244373,0.65,1,1,1
Engraulis,ringens,-30.25,-72.25,5307:102:1,0.30,1,0.506430868167,0.65,1,1,0.9125
Engraulis,ringens,-30.75,-72.25,5307:102:3,0.33,1,0.506430868167,0.65,1,1,1
Engraulis,ringens,-31.25,-71.75,5307:111:2,0.33,1,0.443729903537,0.75,1,1,1
Engraulis,ringens,-31.75,-71.75,5307:111:4,0.33,1,0.443729903537,0.75,1,1,1
Engraulis,ringens,-31.25,-72.25,5307:112:1,0.35,1,0.471061093248,0.75,1,1,1
Engraulis,ringens,-31.75,-72.25,5307:112:3,0.33,1,0.471061093248,0.75,1,1,0.925
Engraulis,ringens,-5.25,-81.25,5008:351:1,0.45,1,0.927083333333,1,0.489165514062,1,1
Engraulis,ringens,-5.75,-81.75,5008:351:4,0.57,1,0.927083333333,1,1,1,0.6125
Engraulis,ringens,-12.75,-77.75,5107:227:4,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-13.25,-77.25,5107:237:1,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-14.75,-76.75,5107:246:4,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-16.75,-74.25,5107:364:3,0.40,1,1,1,1,1,0.4
