Mapping parameters for Dentex maroccanus (Morocco dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,57,-5,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,76,237,500
Temperature (°C),1,1.97,18.36,27.88,32.08
Salinity (psu),1,19.62,31.57,39,39.5
Primary Production,1,306,353,2485,3781
Sea Ice Concentration,1,-0.9990350877192999,0,0,0.04
Distance to Land (km),0,6,15,200,331
 

Map data (HSPEC) for predicted occurrences (n = 1753): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Dentex,maroccanus,36.25,27.25,1302:467:1,0.32,1,1,0.31999999999999,1,1,1
Dentex,maroccanus,36.25,27.75,1302:467:2,0.32,1,1,0.31999999999999,1,1,1
Dentex,maroccanus,36.75,27.75,1302:467:4,0.32,1,1,0.31999999999999,1,1,1
Dentex,maroccanus,36.25,28.25,1302:468:1,0.32,1,1,0.31999999999999,1,1,1
Dentex,maroccanus,31.75,30.75,1303:110:4,0.26,1,1,1,0.25531914893617,1,1
Dentex,maroccanus,31.25,32.75,1303:112:2,0.29,0.28571428571429,1,1,1,1,1
Dentex,maroccanus,31.75,32.75,1303:112:4,0.23,1,1,1,0.23404255319149,1,1
Dentex,maroccanus,31.75,33.25,1303:113:3,0.26,1,1,0.81999999999999,0.31914893617021,1,1
Dentex,maroccanus,34.75,32.75,1303:142:4,0.21,1,1,0.38,0.5531914893617,1,1
Dentex,maroccanus,34.75,33.25,1303:143:3,0.22,1,1,0.7,0.31914893617021,1,1
Dentex,maroccanus,35.25,32.25,1303:352:1,0.37,1,1,0.78,0.46808510638298,1,1
Dentex,maroccanus,36.25,30.25,1303:360:1,0.37,1,1,0.78,0.46808510638298,1,1
Dentex,maroccanus,42.75,5.25,1400:225:3,0.39,0.42205323193916,0.92556436851739,1,1,1,1
Dentex,maroccanus,42.75,5.75,1400:225:4,0.33,0.36121673003802,0.92556436851739,1,1,1,1
Dentex,maroccanus,49.25,0.25,1400:390:1,0.39,0.71428571428571,0.63087248322148,1,1,0.8549355,1
Dentex,maroccanus,49.75,0.75,1400:390:4,0.37,0.78571428571429,0.63087248322148,1,1,0.75,1
Dentex,maroccanus,49.75,1.25,1400:391:3,0.25,0.78571428571429,0.62782184258694,1,1,0.5,1
Dentex,maroccanus,43.25,16.25,1401:236:1,0.32,1,0.98779743746187,1,0.31914893617021,1,1
Dentex,maroccanus,45.25,12.25,1401:352:1,0.34,0.35714285714286,0.94264795607077,1,1,1,1
Dentex,maroccanus,45.75,12.75,1401:352:4,0.20,0.21428571428571,0.94264795607077,1,1,1,1
Dentex,maroccanus,45.75,13.75,1401:353:4,0.32,1,0.94142769981696,1,0.34042553191489,1,1
Dentex,maroccanus,50.25,0.25,1500:100:1,0.31,0.66071428571429,0.61989017693716,1,1,0.75,1
Dentex,maroccanus,50.25,0.75,1500:100:2,0.28,0.89285714285714,0.61989017693716,1,1,0.5,1
Dentex,maroccanus,50.75,0.25,1500:100:3,0.22,0.69642857142857,0.61989017693716,1,1,0.5,1
Dentex,maroccanus,50.25,1.75,1500:101:2,0.20,0.66071428571429,0.61195851128737,1,1,0.5,1
Dentex,maroccanus,50.75,1.75,1500:101:4,0.27,0.58928571428571,0.61195851128737,1,1,0.75,1
Dentex,maroccanus,51.75,0.75,1500:110:4,0.27,0.89285714285714,0.60341671751068,1,1,0.5,1
Dentex,maroccanus,51.25,1.25,1500:111:1,0.22,0.75,0.59121415497254,1,1,0.5,1
Dentex,maroccanus,51.25,1.75,1500:111:2,0.24,0.53571428571429,0.59121415497254,1,1,0.75,1
Dentex,maroccanus,51.75,2.25,1500:112:3,0.23,0.42857142857143,0.58450274557657,1,1,0.90975,1
Dentex,maroccanus,51.75,3.75,1500:113:4,0.20,0.46428571428571,0.58572300183038,1,1,0.75,1
